"kategori_durasi","jumlah_konten","rata_rating","rata_vote"
"Sangat Pendek (<1 jam )",24,7.62,1184
"Panjang (> 2 Jam)",21,6.80,49038
"Data tidak Tersedia",27,6.54,46
"Standar (1-2 Jam)",93,5.98,23799
